feature,nan_rate_vad,n_distinct_vad,sd_vad,degenerate_vad,nan_rate_labels_only,n_distinct_labels_only,sd_labels_only,degenerate_labels_only
ask_d,0.0,100,1.2958026939690583,False,0.0,100,1.0873654855757282,False
res_d,0.0,100,3.4584145952083216,False,0.0,100,3.0874111119403005,False
res_minus_ask,0.0,100,3.9736129806980487,False,0.0,100,3.3064718166334117,False
ask_minus_res,0.0,100,3.9736129806980487,False,0.0,100,3.3064718166334117,False
duration_sum,0.0,100,3.3896713922920005,False,0.0,100,3.239781824832732,False
res_over_ask,0.0,100,3.440701589339735,False,0.0,100,1.567177436476989,False
ask_over_res,0.0,100,4.217923587846212,False,0.0,100,0.7264735051181717,False
ask_ud,0.0,100,0.11156628314770733,False,0.0,67,0.015011826519888796,False
ask_du,0.0,100,0.6105468728865601,False,0.0,67,0.05092444771585735,False
res_ud,0.0,100,0.10142705805155945,False,0.0,56,0.014265657464125796,False
res_du,0.0,100,0.6520030156841943,False,0.0,56,0.162391323878098,False
ask_sd,0.0,100,0.11156628314770736,False,0.0,67,0.015011826519888801,False
ask_ds,0.0,100,4.111587135660912,False,0.34,66,2.3834476910925884,False
res_sd,0.0,100,0.10142705805155948,False,0.0,56,0.014265657464125803,False
res_ds,0.0,100,3.0550977766333167,False,0.45,54,7.389211109816762,False
ask_su,0.0,100,0.6105468728865601,False,0.0,67,0.05092444771585735,False
ask_us,0.0,100,4.111587135660912,False,0.34,66,2.3834476910925884,False
res_su,0.0,100,0.6520030156841943,False,0.0,56,0.16239132387809796,False
res_us,0.0,100,3.0550977766333167,False,0.45,54,7.389211109816762,False
res_h,0.0,100,0.7956353400734916,False,0.0,98,0.7725191966588539,False
ask_bt,0.0,1,0.0,True,0.0,23,0.003977158329675056,False
res_bt,0.0,1,0.0,True,0.0,16,0.0037631115575232966,False
ask_st,0.0,99,0.7721655116063605,False,0.0,67,0.0649355108793648,False
res_st,0.0,100,2.020893518209717,False,0.0,56,0.14391816543829886,False
